name,lat lon,area,pop,popdensity,foreignresidents%,GDP
Berlin,52.516667 13.388889,891.7,3723914,4200,18.4,137
Paris,48.8567 2.3508,105.4,2206488,21000,26.2,681
Amsterdam,52.366667 4.9,219.32,851573,5135,50,170
Stockholm,59.329444 18.068611,188,960031,5100,32.1,167
London,51.507222 -0.1275,607,8825000,14500,36.7,669
Brussels,50.85 4.35,161.38,1191604,7384,70,80
Helsinki,60.170833 24.9375,715.48,648650,3034.62,9.5,75 
Oslo,59.916667 10.733333,480.76,673469,1400,30.4,96
Madrid,40.383333 -3.716667,604.3,3182981,5390,10.2,203
Zürich,47.366667 8.55,87.93,409241,4700,30.2,97
